title,company,location,date,link,skills
Don't see a position that fits your skills? Submit resume here!,"Anaconda, Inc.","Austin, TX",2024-03-06,https://www.linkedin.com/jobs/view/don-t-see-a-position-that-fits-your-skills%3F-submit-resume-here%21-at-anaconda-inc-3847685681?position=1&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=O0tBi22w5G2LFoaNhN9zgQ%3D%3D&trk=public_jobs_jserp-result_search-card,"['data science', 'machine learning']"
Business Operations Analyst - Capital One/HTS,Hopper,New York City Metropolitan Area,2024-02-12,https://www.linkedin.com/jobs/view/business-operations-analyst-capital-one-hts-at-hopper-3828061421?position=2&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=s%2BvgofcHdh6nCRnn7CbUog%3D%3D&trk=public_jobs_jserp-result_search-card,"['BI tools', 'SQLA']"
Associate Data Analyst,Zest AI,United States,2024-04-19,https://www.linkedin.com/jobs/view/associate-data-analyst-at-zest-ai-3902802811?position=3&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=jNV%2BeMCm6ailRzhPiT%2BOfA%3D%3D&trk=public_jobs_jserp-result_search-card,"['machine learning model results', 'statistical techniques', 'data collection', 'data wrangling', 'Python', 'SQL', 'machine learning', 'statistical analysis', 'Object - Oriented Programming', ""Bachelor ' s degree"", 'Computer Science', 'Statistics']"
Junior Data Analyst,Swoon,United States,2024-04-25,https://www.linkedin.com/jobs/view/junior-data-analyst-at-swoon-3906867655?position=4&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=7Ry11nHG6y97mTvV8Yrifw%3D%3D&trk=public_jobs_jserp-result_search-card,"['Power BI', 'Power Apps', 'Power Automate']"
Entry/Junior Level Software Developer - Remote,SynergisticIT,"New York, NY",2024-04-20,https://www.linkedin.com/jobs/view/entry-junior-level-software-developer-remote-at-synergisticit-3902892278?position=5&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=O%2B8XTLMEzz99qv4t6PMRCg%3D%3D&trk=public_jobs_jserp-result_search-card,"['programming language Java', 'software development life cycle', 'Core Java', 'javascript', 'C + +', 'software programming', 'Spring boot', 'Microservices', 'Docker', 'Jenkins', 'REST API', 'data Science', 'Bachelors degree', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'IT', 'programming language Java', 'software development life cycle', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization tools', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'SAS', 'Tensorflow']"
Entry/Junior Software Developer (Remote),SynergisticIT,"Seattle, WA",2024-04-25,https://www.linkedin.com/jobs/view/entry-junior-software-developer-remote-at-synergisticit-3911321427?position=6&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=KYTxjVvV8yWml0vQFctdZw%3D%3D&trk=public_jobs_jserp-result_search-card,"['Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'programming language Java', 'software development life cycleProject', 'Core Java', 'javascript', 'C + +', 'software programmingSpring boot', 'Microservices', 'Docker', 'Jenkins', 'REST API', 'Masters degree', 'Computer Science', 'Computer Engineering', 'Electrical Engineering', 'Information Systems', 'programming language Java', 'software development life cycleKnowledge', 'Statistics', 'SAS', 'Python', 'Computer Vision', 'data visualization toolsExcellent', 'NLP', 'Text mining', 'Tableau', 'PowerBI', 'SAS', 'TensorflowIf']"
Data Analyst,Accroid Inc,United States,2023-11-14,https://www.linkedin.com/jobs/view/data-analyst-at-accroid-inc-3763530856?position=7&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=2hILs70Qe85JOtEu%2BU9NqA%3D%3D&trk=public_jobs_jserp-result_search-card,"['data analytics', 'SQL Server Reporting Services', 'Microsoft Report Builder', 'data analytics', 'Power BI', 'Tableau', 'subqueries', 'versioning', 'temp tables', 'SQL Server Management Studio', 'SSMS']"
Python Developer,Abidi Solutions,United States,2024-02-16,https://www.linkedin.com/jobs/view/python-developer-at-abidi-solutions-3832040702?position=8&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=gz%2FSt2V%2BW1v4H%2BnqOwTVdA%3D%3D&trk=public_jobs_jserp-result_search-card,"['Python programming language', 'Python programming language', 'web frameworks', 'Django', 'Flask', 'object - oriented programming', 'OOP', ')', 'front - end technologies', 'HTML', 'CSS', 'JavaScript', 'SQL', 'NoSQL databases', 'version control systems', 'Git', ""' s degree"", 'Computer Science', 'web applications', 'cloud platforms', 'AWS', 'Azure', 'Google Cloud )', 'Agile development methodologies', 'open - source projects', 'GitHub']"
Python Developer - REMOTE,Steneral Consulting,United States,2024-01-04,https://www.linkedin.com/jobs/view/python-developer-remote-at-steneral-consulting-3798841440?position=9&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=WWT2iR2gQEP09v5X20J3hA%3D%3D&trk=public_jobs_jserp-result_search-card,"['Python', 'version control systems', 'Git', 'code reviews', 'continuous integration processes', 'Linux and Windows environments', 'Python', 'Python design patterns and architecture', 'Python', 'asynchronous Python callbacks', 'Futures / asyncio', 'performance profiling', '2D / 3D content pipelines', 'game engine development', 'PySide', 'PyQt', 'Pixar', 'APIs', 'Digital Content Creation software']"
Junior Level Developer - Remote,SynergisticIT,"New York, NY",2024-02-05,https://www.linkedin.com/jobs/view/junior-level-developer-remote-at-synergisticit-3818360705?position=10&pageNum=0&refId=UIev1Pp4NSPMwwSPUZOM7Q%3D%3D&trackingId=J3XgfbxUy9AMDL2oyAYglA%3D%3D&trk=public_jobs_jserp-result_search-card,"['software engineering', 'requirement analysis', 'system maintenance', ""Bachelor ' s degree"", 'Computer Science', 'programming languages', 'C + +', 'software development methodologies', 'data structures', 'algorithms', 'object - oriented programming concepts']"
